"filename", "language", "Batch", "JSON", "JSON with Comments", "Markdown", "JavaScript", "vue", "YAML", "Ignore", "XML", "CSS", "SCSS", "HTML", "Docker", "BibTeX", "Properties", "Python", "LaTeX", "pip requirements", "SQL", "comment", "blank", "total"
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\getEmployeesToProject.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 4, 36
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\getForecast.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 5, 44
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\getPosition.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 5, 44
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\getPositionsOfProjectOfEmployee.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 6, 7, 29
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\getPositionsToProject.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 4, 32
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\getProject.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 5, 44
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\getProjectsOfEmployee.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 2, 8, 29
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\getTeam.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 5, 44
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\graphs\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\graphs\positionGraph.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 10, 64
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\graphs\positionLinearGraph.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 10, 67
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\graphs\projectAllPositionsGraph.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 1, 19, 85
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\graphs\projectAllPositionsPieGraph.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 16, 66
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\graphs\projectProjectionGraph.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 1, 20, 95
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\homeScreen\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\homeScreen\assignedProjects.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 8, 28
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\login.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 16, 61
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\management\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\management\getTableData.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 3, 29, 125
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\post\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\post\assignment.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 8, 59
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\post\booking.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 7, 8, 69
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\post\employee.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 18, 101
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\post\forecast.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 7, 56
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\post\position.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 2, 6, 56
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\post\project.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 7, 62
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\post\team.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 10, 69
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\sql\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\sql\createBookings.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 7, 9, 70
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\sql\createForecast.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 2, 9, 63
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\timeTable\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\timeTable\timeTableBooking.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 8, 70
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\timeTable\timeTableCombined.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 11, 81
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\timeTable\timeTableForecast.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 8, 70
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\time\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\time\getTime.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 7, 37
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\update\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
